Event Time	Event Lat	Event Lng	Tracker Trigger	Comments
2017 04-19 05:12:34	Latitude	Longitude	hacked friendly portal	fail
2017 04-19 05:11:16	Latitude	Longitude	resonator deployed	success
2017 04-19 05:11:10	Latitude	Longitude	resonator deployed	success
2017 04-19 05:10:55	Latitude	Longitude	mod deployed	success
2017 04-19 05:08:49	Latitude	Longitude	hacked friendly portal	success
2017 04-19 05:08:32	Latitude	Longitude	resonator deployed	success
2017 04-19 05:08:28	Latitude	Longitude	resonator deployed	success
2017 04-19 05:08:22	Latitude	Longitude	resonator deployed	success
2017 04-19 05:08:17	Latitude	Longitude	resonator deployed	success
2017 04-19 05:08:11	Latitude	Longitude	resonator deployed	success
2017 04-19 05:08:01	Latitude	Longitude	resonator deployed	success
2017 04-19 05:08:00	Latitude	Longitude	captured portal	None
2017 04-19 05:07:11	None	None	admin modify profile	editAccountInfo
